[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ] - 3
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ] - 6
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R, Y,  , R] - 4
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  , R,  , Y, R,  ,  ,  ] - 2
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  , R] - 4
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  , R,  , Y, R,  ,  ,  ] - 2
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  , R] - 4
[ ,  ,  , Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  , R,  , Y, R,  ,  ,  ] - 2
[ ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  , Y,  ,  , R, Y,  , R] - 2
[ ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  , R,  , Y, R,  ,  , Y] - 4
[ ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  , Y,  ,  , Y, R,  ,  , Y,  , R, R, Y,  , R] - 2
[ ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  , Y, R,  , Y, R, R,  , Y] - 4
[ ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  , Y,  ,  , R, Y,  ,  , Y,  , R, Y, R,  ,  , Y,  , R, R, Y,  , R] - 1
[ ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, R,  ,  , Y,  ,  , R, Y, R,  , Y, R,  , Y, R, R,  , Y] - 5
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ] - 3
